#source target edge_score
ABM1 DAL4 0.7455854188143691
ABM1 YHR022C 0.7296407282251095
ACA1 UGX2 0.7343017396526847
AHA1 ALD3 0.7745451251095296
AHA1 APE1 0.7852556032787534
AHA1 CPR6 0.7441768233848655
AHA1 ECM13 0.7570234926053028
AHA1 GCY1 0.7075503607127973
AHA1 GOR1 0.7043355880152523
AHA1 GRE3 0.8315181172561027
AHA1 GSP2 0.8567494571070087
AHA1 HBT1 0.8613513022399303
AHA1 HSP10 0.7498173861430201
AHA1 HSP26 0.7138396949956154
AHA1 IDH2 0.8845231297686831
AHA1 MSC1 0.7436383362056193
AHA1 SSA1 0.7925606683862517
AHA1 SSA4 0.7557075196359887
AHA1 STI1 0.7584400247358866
AHA1 TFS1 0.793832353071481
AHA1 YMR090W 0.8178217455939749
AHA1 YMR196W 0.812660233788602
ALD3 CPR6 0.7899380808438345
ALD3 ECM13 0.8786375799222006
ALD3 GSP2 0.7536452728237613
ALD3 HSP104 0.7722940524987708
ALD3 HSP26 0.7869846063540634
ALD3 IDH2 0.7286270574501276
ALD3 RTC3 0.7503519078119039
ALD3 SSA1 0.8626419527489736
ALD3 SSA4 0.8626879492783563
ALD3 SSE2 0.7367979795466271
ALD3 STI1 0.8754756777239409
ALD3 STR3 0.7039574663671955
ALD3 TFS1 0.8592395333311127
ALD3 YMR090W 0.7072585296840818
AMA1 FRM2 0.7316628576948301
AMA1 GDH3 0.7379321037535173
AMA1 PES4 0.7269755720532075
AMA1 SPG1 0.7284171594475266
AMA1 SPO77 0.7234341536723181
AMA1 SPR3 0.7017410222621914
AMA1 YJL043W 0.745377473617479
AMA1 YLR030W 0.7848614534785914
AMA1 glutamic_acid 0.8069063037570245
AMS1 ARO10 0.7898415079042006
AMS1 DCS2 0.8847532717857621
AMS1 GND2 0.7635484027079382
AMS1 YJL045W 0.7435669464950954
AMS1 YPS6 0.7867441062071892
APE1 ECM13 0.750979070711171
APE1 GRE3 0.8003152734433181
APE1 GSP2 0.7852928523299896
APE1 IDH2 0.7886244212719589
APE1 PGM2 0.9077867813413167
APE1 RTC3 0.7401199564578618
APE1 SPR3 0.7638571202737185
APE1 SSA1 0.735022545763037
APE1 SSA4 0.7456438206923058
APE1 STI1 0.7268965054636303
APE1 TFS1 0.7297407723545629
APE1 YMR090W 0.848716984844303
APE1 glutamic_acid 0.7957052556925049
ARG1 CSM4 0.8212411743382755
ARG1 RRT5 0.7070469229982501
ARO10 ENO1 0.7734871412730958
ARO10 GND2 0.7669743848420891
ARO10 PET10 0.8009087269046796
ARO10 SDH6 0.7971713799941476
ARO10 YJL045W 0.8567353098768417
ARO10 YJL133C-A 0.7744605139492403
ARO10 YKL151C 0.7600521581180121
ARO9 FMP33 0.716853247493237
ARO9 SOL4 0.7402900381816323
ARO9 SSE2 0.7191238267154413
ASC1 ECM13 0.7069969489690485
ASC1 ILV3 0.7133000207037896
ASC1 RPL9A 0.941036805116711
ASC1 SSA4 0.7269991393200703
ASC1 STI1 0.722581630000778
ASC1 TIR1 0.7368823542953744
ATO2 HXT9 0.7529501591601564
ATO2 REG2 0.7787180119113897
ATO2 YFL052W 0.8297840935759353
AZR1 YGR146C-A 0.7718120955155898
AZR1 YLL056C 0.8757475543438565
BAG7 CMK2 0.767268110575819
BAG7 GYP7 0.8118510017116706
BAG7 PEX18 0.7581039934276365
BAG7 PUN1 0.8119167291957632
BAG7 RCR1 0.8914613208669504
BAG7 YBR056W-A 0.9004750458803834
BAG7 YLR194C 0.7168312551636046
BNA2 GSC2 0.9598649006051516
BNA2 PDC6 0.7054237218273383
BNA2 REC8 0.7278993953787893
BNA2 SPO75 0.7338693292904876
BOP2 GPM2 0.7809811499492323
BOP2 ISF1 0.7055987586407256
BOP2 YDR034W-B 0.8437126699401228
BOP2 YOR338W 0.7349352552590522
CDA1 LOH1 0.7846359212561153
CDA1 MIP6 0.7454893515962933
CDA1 PDC6 0.7481173757544702
CDA1 POX1 0.7881182210496404
CDA1 YHR054C 0.7578160697314656
CIN2 CRF1 0.7078358265149204
CIN2 HCH1 0.7750491139268636
CIN2 HSP26 0.8025374692062218
CIN2 HSP82 0.8649554945703328
CIN2 ILV3 0.7089239233521905
CIN2 RPL9A 1.0
CIN2 SSA4 0.7837779550140019
CIN2 STF1 1.0
CIN2 STI1 0.7173533758918453
CIN2 TIR1 0.7345318736493802
CIN2 YFL012W 0.8598018216816983
CIN2 YLR030W 0.7749121867013118
CIN2 YLR031W 0.7732291816689134
CIT2 GYP7 0.7387260257185844
CIT2 PUN1 0.7371222598317497
CIT2 RCR1 0.7147954104152722
CIT2 RTA1 0.7116842022122787
CIT2 SPS19 0.7112839467733916
CIT2 YBR056W-A 0.7589132087461528
CLD1 HSP30 0.7682534445626522
CLD1 PHM8 0.8078830726442684
CLD1 TMA10 0.7157945456071757
CLD1 YHR138C 0.7841573860747056
CLD1 YOL163W 0.8082168441051326
CMK2 DAN1 0.8192488061277338
CMK2 GYP7 0.8429333361355328
CMK2 PEX18 0.8221419757696882
CMK2 PUN1 0.9486700251579081
CMK2 RCR1 0.8926741186695206
CMK2 RTA1 0.8032026434533537
CMK2 YBR056W-A 0.7902351565260919
CMK2 YBR085C-A 0.730827807587998
CMK2 YEL073C 0.7243865576512791
CMK2 YET2 0.7245414854164998
CMK2 YOR385W 0.8293071075477968
CMK2 YPR145C-A 0.7240701947774435
COS12 FMP16 0.750662951853558
COS12 GPP2 0.7581747742721208
COS12 HBT1 0.7608490272088537
COS12 YFL012W 0.9433676038200598
COS12 YMR090W 0.7459086054631503
CPR6 ECM13 0.9967715879123937
CPR6 GSP2 0.8470533813756167
CPR6 HSP104 0.8783677161265846
CPR6 HSP26 1.0
CPR6 IDH2 0.8273387172184004
CPR6 MET6 0.7875717408620635
CPR6 PNC1 0.7099537912849917
CPR6 RTC3 0.7116908945341089
CPR6 SSA1 0.9489378944509652
CPR6 SSA4 0.9887555610638769
CPR6 SSE2 0.7571870299572887
CPR6 STE2 0.712396997186177
CPR6 STI1 0.9999999999999999
CPR6 STR3 0.7916796928700972
CPR6 TFS1 0.9043675509955121
CPR6 YMR090W 0.7282238873709859
CRC1 ECM8 0.8067261200197902
CRC1 MEK1 0.8350883364824392
CRC1 PES4 0.8095800837677928
CRC1 POX1 0.7647755000172283
CRC1 YHR054C 0.8078574188681674
CRF1 GAS4 0.746616175855941
CRF1 HSP82 0.740407849341117
CRF1 YGL081W 0.837795799884453
CRF1 YHL012W 0.8599305001170392
CRG1 LEE1 0.8027792254090448
CRG1 NQM1 0.7040708099487896
CRG1 PRB1 0.92517069130544
CRG1 TMA10 0.7690611025038447
CRG1 YLR149C 0.7365324931284971
CRG1 YOR289W 0.7854146974701443
CYC7 MAG1 0.711676100566124
CYC7 PDH1 0.73847650675485
CYC7 RPL9A 0.7859474479786236
DAL1 FIG1 0.7163217830026967
DAL1 YOL160W 0.8305705750979295
DAL4 YHR022C 0.7295387310983934
DAL80 RRT6 0.7063014827278501
DAL80 YKR015C 0.7387277961669585
DAN1 GYP7 0.7445689432339768
DAN1 PUG1 0.7550755589922251
DAN1 PUN1 0.7698307022821048
DAN1 RTA1 0.8159607123415031
DAN1 YEL073C 0.7993670086155403
DAN1 YET2 0.750012129173904
DAN1 YOR385W 0.7271933601885513
DCS2 GCY1 0.8029265641369219
DCS2 GPP2 0.7092901666478741
DCS2 GSP2 0.7408303155138234
DCS2 HBT1 0.7388629628966369
DCS2 HSP104 0.8161832924147472
DCS2 HSP31 0.7670478525342632
DCS2 HXT5 0.7033400850766148
DCS2 IDH1 0.7271578985175837
DCS2 IDH2 0.7800731367837653
DCS2 MSC1 0.7006878646548015
DCS2 SSA1 0.7160696998331628
DCS2 SSE2 0.8323779127978929
DCS2 TFS1 0.7801791344659352
DCS2 YMR090W 0.7367619091368922
DDR2 GCY1 0.8165577764822645
DDR2 HSP104 0.7762269274853667
DDR2 PGM2 0.7507775592402159
DDR2 SSE2 0.7691449754506823
DDR2 YMR090W 0.7136163830503366
